SoundName,Database_Name,Sex_Voice,Emotion_Label,Begin,End,Duration,PeakTime,Amp(dB),PeakAmp,MinF0,MaxF0,MeanF0,StDevF0,Jitter,Shimmer,MaxHNR,MeanHNR,StDevHNR
andre01AnnaN_Norm,Anna_Andre,male,neutral,0,0.7799,0.7799,0.318,58.4,75.8,75.3,99.6,85.0,6.15,0.005902351,1.534172192,26.27,4.8,2.91
andre03AnnaW_Norm,Anna_Andre,male,angry,0,0.8513,0.8513,0.466,51.2,76.3,190.9,254.3,234.3,18.7,0.000501592,1.183032832,24.72,1.35,5.72
andre04AnnaA_Norm,Anna_Andre,male,fear,0,0.5971,0.5971,0.325,59.3,75.1,109.1,184.2,153.3,24.68,0.002341748,1.287565895,18.89,6.65,5.04
andre07AnnaF_Norm,Anna_Andre,male,happy,0,0.6985,0.6985,0.202,62.0,77.4,90.4,251.3,171.3,59.49,0.001572239,1.002542537,25.0,0.46,5.65
bea01AnnaN_Norm,Anna_Bea,female,neutral,0,0.8713,0.8713,0.339,51.8,75.6,127.2,185.3,161.5,18.05,0.001128488,0.705500349,25.73,10.73,4.47
bea03AnnaW_Norm,Anna_Bea,female,angry,0,0.7471,0.7471,0.169,60.4,77.8,296.0,515.0,414.1,77.75,0.000562849,1.78963173,26.71,-0.46,2.2
bea04AnnaA_Norm,Anna_Bea,female,fear,0,0.839,0.839,0.408,51.9,75.9,167.9,252.8,211.2,27.01,0.00103282,1.365093105,21.94,8.98,5.46
bea07AnnaF_Norm,Anna_Bea,female,happy,0,0.9967,0.9967,0.465,60.2,78.2,136.5,329.6,227.7,71.91,0.001774344,1.169741258,25.74,5.07,3.48
claud01AnnaN_Norm,Anna_Claud,female,neutral,0,0.5276,0.5276,0.169,63.2,76.2,124.4,162.4,143.2,14.57,0.001251831,1.549993367,9.2,4.16,2.42
claud03AnnaW_Norm,Anna_Claud,female,angry,0,1.0172,1.0172,0.526,44.9,76.8,141.1,339.0,231.9,70.8,0.000692915,0.781346804,26.28,0.28,4.53
claud04AnnaA_Norm,Anna_Claud,female,fear,0,0.8816,0.8816,0.427,62.3,76.1,138.5,165.5,153.8,7.31,0.000994464,0.61815212,24.84,13.0,5.91
claud07AnnaF_Norm,Anna_Claud,female,happy,0,1.2937,1.2937,0.205,60.0,76.9,173.0,408.5,292.1,73.93,0.000232805,0.976067027,40.0,4.97,4.05
ellen01AnnaN_Norm,Anna_Ellen,female,neutral,0,0.9451,0.9451,0.276,61.0,84.6,147.5,204.2,167.5,18.24,0.000917683,0.75463159,27.36,11.84,4.21
ellen03AnnaW_Norm,Anna_Ellen,female,angry,0,0.6857,0.6857,0.384,58.9,75.8,264.5,391.4,335.3,43.22,0.000404572,1.129067575,12.95,3.77,4.64
ellen04AnnaA_Norm,Anna_Ellen,female,fear,0,1.1305,1.1305,0.639,51.8,76.5,327.9,466.4,426.8,42.38,9.77e-05,0.729052349,41.95,13.4,8.98
ellen07AnnaF_Norm,Anna_Ellen,female,happy,0,1.0498,1.0498,0.297,59.4,79.6,175.5,438.8,338.9,81.54,0.000289732,1.357547907,26.2,5.43,5.15
frank01AnnaN_Norm,Anna_Frank,male,neutral,0,0.7232,0.7232,0.223,51.6,76.7,78.4,102.2,89.3,8.93,0.002231122,1.370393322,23.24,2.69,2.92
